MPI;OMP;Ёффективность
1;1;1
2;1;0.946222131241895
3;1;0.881048424093107
4;1;0.780802669304999
5;1;0.702801965946189
6;1;0.651970584757293
1;2;1
2;2;0.864200396042736
3;2;0.699550429213958
4;2;0.568703304438795
5;2;0.462991133063486
6;2;0.39892570303576
